種類,英文,中文
上衣,Pocket Opening at Edge on Seam,袋口長-邊到邊
上衣,Pocket Placement Up From Hem,口袋位置 - 下襬邊上量
上衣,Racerback Position down from HPS,後背寬位置-肩高點下
上衣,Racerback Width @ Specified Position,後背寬
上衣,Racerback Width Position down from HPS,後背寬-肩高點下
上衣,Shirt Tail Drop - SS edge to hem edge @ CB,下擺深-後中量-側邊到衣襬邊
上衣,Shirt Tail Drop - SS edge to hem edge @ CF,下擺深-前中量-側邊到衣襬邊
上衣,Shoulder Forward @ Armhole,肩前傾-袖攏量
上衣,Shoulder Forward @ Neckline,肩前傾-領圍量
上衣,Shoulder Forward from HPS,肩前傾-肩高點量
上衣,Shoulder Forward from HPS @ Neck,肩前傾-肩高點量
上衣,Shoulder Seam Forward from Fold,肩前傾
上衣,Shoulder Slope - HPS down to Armhole join seam,肩斜-肩高點到袖攏頂
上衣,Shoulder Slope - HPS down to Imaginary Point,肩斜-肩高點到袖攏頂
上衣,Shoulder Strap Join Width @ Neck,肩帶接縫寬度-領邊量
上衣,Shoulder Strap Length - Ft Join to Bk Center Join - Cami,肩帶長-前接點至後接點
上衣,Shoulder Strap Width Edge to Edge,肩帶寬-邊到邊
上衣,Side Panel Width,側剪接寬
上衣,Side seam forward from fold,側縫前傾
上衣,Sleeve Cuff Height,袖口高
上衣,Sleeve Length LS from CB -3 point,袖長-後中3點量
上衣,Sleeve Length SS from CB -3 Point,袖長-後中3點量
上衣,Sleeve Opening Long - Flat,袖口寬 (平量)
上衣,Sleeve Opening Short - Flat,袖口寬 (平量)
上衣,SLEEVES,袖子
上衣,Sweep - Straight - Flat,下襬寬-直量 (平量)
上衣,Tank Sweep - Straight - Flat,下襬寬-直量 (平量)
上衣,Tank Waist @ Specified Position - Flat,腰圍 (平量)
上衣,Tube Shoulder Strap Width Edge to Edge,肩帶寬-邊到邊
上衣,Upper Keyhole Height @ Center,後中水滴洞開口高-中間量
上衣,Upper Keyhole Width @ Widest,後中水滴洞開口寬-最寬處量
上衣,Waist Placement from CF Neck Edge - Cami,腰圍位置-前中領邊量
上衣,Hood Opening Drawstring length - end to end,帽繩長
上衣,"Hood Width - X"" Down from Top Edge - Flat","帽寬 - 帽頂下4""量"
上衣,Pocket Bag Height @ Center- edge to edge,口袋布高-中心邊到邊量
上衣,Pocket Height at Side,口袋高-斜邊量
上衣,Pocket Width at Center,口袋寬-中心最寬量
上衣,Pocket Width at Top,口袋寬-頂端量
褲,MAIN LABEL,主標
褲,MAIN LABEL HEATSEAL,熱轉印主標
褲,BCG DOT LOGO HEATSEAL,6點標
褲,HANGTAG,吊牌
褲,CARE LABEL,洗標
褲,LONG SKU,SKU 標
褲,TRACKING LABEL,SKU 標
褲,PO LABEL,PO標
褲,LABEL PLACEMENT,標位
褲,INCLUDING,含
褲,EXCLUDING,不含
做工,Blindstitch,盲縫車
做工,Single Needle Lockstitch,單針平車
做工,Double Needle Lockstitch,雙針平車
做工,Zig Zag Lockstitch,人字車平車
做工,Buttonhole,鎖眼車
做工,Button Sewing,縫釦機
做工,Bartack,打結車
做工,Single Needle Chainstitch,單針鎖鍊
做工,Double Needle Chainstitch,雙針鎖鍊
做工,Multiple Needle Chainstitch,多針鎖鍊
做工,2 Thread Overlock,二線拷克
做工,3 Thread Overlock,三線拷克
做工,4 Thread Overlock,四線拷克
做工,5 Thread Overlock,五線拷克
做工,Single Needle Chainstitch,單針鎖鍊
做工,3N,3針
做工,2N,2針
做工,WD,"1/4"""
做工,NAR,"1/8"""
做工,FLOATSTITCH,三本爬網
做工,LINETACK,單針平車回針
做工,COVER STITCH,三本雙針
